Pierre, Dupont, pierre.dupont@legume.com
Rhyan, Johnson, rhyan.johnson@fleur.ch
Paul, Nerude, paul.nerude@poeme.fr
Ugo, Forestier, ugo.forestier@arbre.com
Xavier, Plumier, xavier.plumier@yvorne.ch
Roland, McDonald, roland.mcdonald@potato.com
Yves, Lefevre, yves.lefevre@maison.ch
Julie, DeMaison, julie.demaison@immeuble.com
Victoria, Secret, victoria.secret@mannequin.com
Jean, Paul, jean.paul@ministre.fr
Eva, Pommier, eva.pommier@fruit.ch
Tablo, Suze, tablo.suze@alcool.com
Marine, Mesquine, marine.mesquine@gouv.fr
Elisa, Jardin, elisa.jardin@jardin.ch
Eloise, Martin, eloise.martin@tartine.com
